                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.90896,                0.66369,                 1.1285,                0.76869,                0.76775,                0.81253,                0.60727,                    nan,                    nan,                    nan,              0.0060895,              0.0060895,              0.0060895
                     82,                0.92043,                0.66582,                 1.1369,                0.74619,                0.77855,                0.79873,                0.59385,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     83,                0.90805,                0.66114,                 1.1255,                0.72108,                0.78282,                0.79303,                0.58617,                    nan,                    nan,                    nan,              0.0059905,              0.0059905,              0.0059905
                     84,                0.90754,                0.65582,                 1.1296,                0.75462,                0.71242,                0.78252,                0.57876,                    nan,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                     85,                0.90895,                0.65177,                 1.1311,                0.75339,                0.72196,                0.76589,                0.56363,                    nan,                    nan,                    nan,              0.0058915,              0.0058915,              0.0058915
                     86,                0.90764,                0.64987,                 1.1292,                0.71865,                0.74314,                0.77049,                 0.5678,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     87,                 0.9092,                 0.6557,                 1.1244,                0.73135,                 0.7074,                0.73107,                0.52817,                    nan,                    nan,                    nan,              0.0057925,              0.0057925,              0.0057925
                     88,                0.90502,                0.63897,                 1.1223,                0.75847,                0.71926,                0.75466,                0.54961,                    nan,                    nan,                    nan,               0.005743,               0.005743,               0.005743
                     89,                0.90607,                0.64053,                 1.1259,                0.74614,                0.72705,                0.75973,                0.55289,                    nan,                    nan,                    nan,              0.0056935,              0.0056935,              0.0056935
                     90,                0.89104,                0.63262,                 1.1136,                0.75598,                0.72244,                0.77121,                0.56547,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     91,                0.89704,                0.62938,                 1.1194,                0.75849,                0.72937,                0.76105,                0.55406,                    nan,                    nan,                    nan,              0.0055945,              0.0055945,              0.0055945
                     92,                0.89427,                0.62882,                 1.1154,                0.76086,                0.72651,                0.75392,                0.54893,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     93,                0.89188,                0.63021,                 1.1123,                0.75192,                0.72803,                0.76024,                0.55322,                    nan,                    nan,                    nan,              0.0054955,              0.0054955,              0.0054955
                     94,                0.89156,                0.62376,                 1.1135,                0.75221,                0.73361,                0.75592,                0.55152,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                     95,                0.89139,                0.61474,                 1.1135,                0.74322,                0.73107,                0.76351,                0.55925,                    nan,                    nan,                    nan,              0.0053965,              0.0053965,              0.0053965
                     96,                0.89391,                0.62009,                 1.1177,                0.77954,                 0.7248,                0.77691,                0.57147,                    nan,                    nan,                    nan,               0.005347,               0.005347,               0.005347
                     97,                0.88634,                  0.613,                 1.1111,                0.75859,                0.73523,                0.77111,                0.56603,                    nan,                    nan,                    nan,              0.0052975,              0.0052975,              0.0052975
                     98,                0.88581,                0.60889,                 1.1116,                 0.7487,                0.73755,                0.75921,                0.55687,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                     99,                0.88766,                0.60825,                 1.1122,                0.74608,                0.71711,                0.75347,                0.55095,                    nan,                    nan,                    nan,              0.0051985,              0.0051985,              0.0051985
                    100,                0.88231,                0.60513,                  1.105,                0.69235,                0.77238,                 0.7556,                0.55327,                    nan,                    nan,                    nan,               0.005149,               0.005149,               0.005149
                    101,                0.87832,                0.60166,                 1.1026,                0.69918,                0.77501,                0.75856,                0.55878,                    nan,                    nan,                    nan,              0.0050995,              0.0050995,              0.0050995
                    102,                0.87903,                0.60495,                 1.1088,                0.70886,                 0.7584,                0.76123,                0.55988,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                    103,                0.87602,                0.59444,                 1.1046,                0.72915,                0.75524,                0.75389,                0.55389,                    nan,                    nan,                    nan,              0.0050005,              0.0050005,              0.0050005
                    104,                0.87262,                0.58886,                 1.1022,                0.73216,                0.72153,                0.74801,                0.54723,                    nan,                    nan,                    nan,               0.004951,               0.004951,               0.004951
